Timestamp	SWP
(07/14/08 14:00:00)	NA
(07/14/08 15:00:00)	NA
(07/14/08 16:00:00)	NA
(07/14/08 17:00:00)	NA
(07/14/08 18:00:00)	NA
(07/14/08 19:00:00)	NA
(07/14/08 20:00:00)	NA
(07/14/08 21:00:00)	NA
(07/14/08 22:00:00)	NA
(07/14/08 23:00:00)	NA
(07/15/08 00:00:00)	NA
(07/15/08 01:00:00)	NA
(07/15/08 02:00:00)	NA
(07/15/08 03:00:00)	NA
(07/15/08 04:00:00)	NA
(07/15/08 05:00:00)	NA
(07/15/08 06:00:00)	NA
(07/15/08 07:00:00)	NA
(07/15/08 08:00:00)	NA
(07/15/08 09:00:00)	NA
(07/15/08 10:00:00)	NA
(07/15/08 11:00:00)	NA
(07/15/08 12:00:00)	NA
(07/15/08 13:00:00)	NA
(07/15/08 14:00:00)	-0.504374702
(07/15/08 15:00:00)	-0.510652305
(07/15/08 16:00:00)	-0.510652305
(07/15/08 17:00:00)	-0.510652305
(07/15/08 18:00:00)	-0.50574115
(07/15/08 19:00:00)	-0.510652305
(07/15/08 20:00:00)	-0.510652305
(07/15/08 21:00:00)	-0.510652305
(07/15/08 22:00:00)	-0.510652305
(07/15/08 23:00:00)	-0.510652305
(07/16/08 00:00:00)	-0.510652305
(07/16/08 01:00:00)	-0.510652305
(07/16/08 02:00:00)	-0.510652305
(07/16/08 03:00:00)	-0.510652305
(07/16/08 04:00:00)	-0.510652305
(07/16/08 05:00:00)	-0.510652305
(07/16/08 06:00:00)	-0.516421134
(07/16/08 07:00:00)	-0.516421134
(07/16/08 08:00:00)	-0.511437132
(07/16/08 09:00:00)	-0.511437132
(07/16/08 10:00:00)	-0.511437132
(07/16/08 11:00:00)	-0.511437132
(07/16/08 12:00:00)	-0.511437132
(07/16/08 13:00:00)	-0.511437132
(07/16/08 14:00:00)	-0.511437132
(07/16/08 15:00:00)	-0.511437132
(07/16/08 16:00:00)	-0.511437132
(07/16/08 17:00:00)	-0.511437132
(07/16/08 18:00:00)	-0.511437132
(07/16/08 19:00:00)	-0.517830602
(07/16/08 20:00:00)	-0.517830602
(07/16/08 21:00:00)	-0.522896663
(07/16/08 22:00:00)	-0.522896663
(07/16/08 23:00:00)	-0.517830602
(07/17/08 00:00:00)	-0.517830602
(07/17/08 01:00:00)	-0.517830602
(07/17/08 02:00:00)	-0.517830602
(07/17/08 03:00:00)	-0.517830602
(07/17/08 04:00:00)	-0.517830602
(07/17/08 05:00:00)	-0.522896663
(07/17/08 06:00:00)	-0.517830602
(07/17/08 07:00:00)	-0.523706284
(07/17/08 08:00:00)	-0.523706284
(07/17/08 09:00:00)	-0.523706284
(07/17/08 10:00:00)	-0.523706284
(07/17/08 11:00:00)	-0.523706284
(07/17/08 12:00:00)	-0.523706284
(07/17/08 13:00:00)	-0.523706284
(07/17/08 14:00:00)	-0.523706284
(07/17/08 15:00:00)	-0.523706284
(07/17/08 16:00:00)	-0.523706284
(07/17/08 17:00:00)	-0.523706284
(07/17/08 18:00:00)	-0.523706284
(07/17/08 19:00:00)	-0.523706284
(07/17/08 20:00:00)	-0.523706284
(07/17/08 21:00:00)	-0.523706284
(07/17/08 22:00:00)	-0.523706284
(07/17/08 23:00:00)	-0.523706284
(07/18/08 00:00:00)	-0.523706284
(07/18/08 01:00:00)	-0.523706284
(07/18/08 02:00:00)	-0.523706284
(07/18/08 03:00:00)	-0.523706284
(07/18/08 04:00:00)	-0.523706284
(07/18/08 05:00:00)	-0.518629944
(07/18/08 06:00:00)	-0.518629944
(07/18/08 07:00:00)	-0.518629944
(07/18/08 08:00:00)	-0.518629944
(07/18/08 09:00:00)	-0.518629944
(07/18/08 10:00:00)	-0.518629944
(07/18/08 11:00:00)	-0.518629944
(07/18/08 12:00:00)	-0.518629944
(07/18/08 13:00:00)	-0.523706284
(07/18/08 14:00:00)	-0.523706284
(07/18/08 15:00:00)	-0.523706284
(07/18/08 16:00:00)	-0.529669761
(07/18/08 17:00:00)	-0.524517553
(07/18/08 18:00:00)	-0.529669761
(07/18/08 19:00:00)	-0.529669761
(07/18/08 20:00:00)	-0.529669761
(07/18/08 21:00:00)	-0.529669761
(07/18/08 22:00:00)	-0.536364564
(07/18/08 23:00:00)	-0.536364564
(07/19/08 00:00:00)	-0.529669761
(07/19/08 01:00:00)	-0.536364564
(07/19/08 02:00:00)	-0.536364564
(07/19/08 03:00:00)	-0.536364564
(07/19/08 04:00:00)	-0.529669761
(07/19/08 05:00:00)	-0.536364564
(07/19/08 06:00:00)	-0.536364564
(07/19/08 07:00:00)	-0.536364564
(07/19/08 08:00:00)	-0.536364564
(07/19/08 09:00:00)	-0.529669761
(07/19/08 10:00:00)	-0.529669761
(07/19/08 11:00:00)	-0.529669761
(07/19/08 12:00:00)	-0.536364564
(07/19/08 13:00:00)	-0.542518179
(07/19/08 14:00:00)	-0.542518179
(07/19/08 15:00:00)	-0.535722645
(07/19/08 16:00:00)	-0.542518179
(07/19/08 17:00:00)	-0.542518179
(07/19/08 18:00:00)	-0.542518179
(07/19/08 19:00:00)	-0.535722645
(07/19/08 20:00:00)	-0.542518179
(07/19/08 21:00:00)	-0.542518179
(07/19/08 22:00:00)	-0.542518179
(07/19/08 23:00:00)	-0.542518179
(07/20/08 00:00:00)	-0.542518179
(07/20/08 01:00:00)	-0.542518179
(07/20/08 02:00:00)	-0.542518179
(07/20/08 03:00:00)	-0.542518179
(07/20/08 04:00:00)	-0.548764713
(07/20/08 05:00:00)	-0.548764713
(07/20/08 06:00:00)	-0.548764713
(07/20/08 07:00:00)	-0.548764713
(07/20/08 08:00:00)	-0.548764713
(07/20/08 09:00:00)	-0.548764713
(07/20/08 10:00:00)	-0.541866584
(07/20/08 11:00:00)	-0.548764713
(07/20/08 12:00:00)	-0.541866584
(07/20/08 13:00:00)	-0.548764713
(07/20/08 14:00:00)	-0.548764713
(07/20/08 15:00:00)	-0.548764713
(07/20/08 16:00:00)	-0.548764713
(07/20/08 17:00:00)	-0.560656313
(07/20/08 18:00:00)	-0.555105891
(07/20/08 19:00:00)	-0.560656313
(07/20/08 20:00:00)	-0.555105891
(07/20/08 21:00:00)	-0.555105891
(07/20/08 22:00:00)	-0.555105891
(07/20/08 23:00:00)	-0.555105891
(07/21/08 00:00:00)	-0.555105891
(07/21/08 01:00:00)	-0.555105891
(07/21/08 02:00:00)	-0.555105891
(07/21/08 03:00:00)	-0.555105891
(07/21/08 04:00:00)	-0.555105891
(07/21/08 05:00:00)	-0.555105891
(07/21/08 06:00:00)	-0.560656313
(07/21/08 07:00:00)	-0.555105891
(07/21/08 08:00:00)	-0.555105891
(07/21/08 09:00:00)	-0.555105891
(07/21/08 10:00:00)	-0.555105891
(07/21/08 11:00:00)	-0.560656313
(07/21/08 12:00:00)	-0.560656313
(07/21/08 13:00:00)	-0.567178554
(07/21/08 14:00:00)	-0.567178554
(07/21/08 15:00:00)	-0.536364564
(07/21/08 16:00:00)	-0.541670204
(07/21/08 17:00:00)	-0.554232032
(07/21/08 18:00:00)	-0.529479158
(07/21/08 19:00:00)	-0.547903915
(07/21/08 20:00:00)	-0.541670204
(07/21/08 21:00:00)	-0.554232032
(07/21/08 22:00:00)	-0.554232032
(07/21/08 23:00:00)	-0.554232032
(07/22/08 00:00:00)	-0.554232032
(07/22/08 01:00:00)	-0.561337696
(07/22/08 02:00:00)	-0.554232032
(07/22/08 03:00:00)	-0.560656313
(07/22/08 04:00:00)	-0.560656313
(07/22/08 05:00:00)	-0.567870346
(07/22/08 06:00:00)	-0.560656313
(07/22/08 07:00:00)	-0.567870346
(07/22/08 08:00:00)	-0.560656313
(07/22/08 09:00:00)	-0.567870346
(07/22/08 10:00:00)	-0.567870346
(07/22/08 11:00:00)	-0.567870346
(07/22/08 12:00:00)	-0.567870346
(07/22/08 13:00:00)	-0.567870346
(07/22/08 14:00:00)	-0.567870346
(07/22/08 15:00:00)	-0.567870346
(07/22/08 16:00:00)	-0.574502988
(07/22/08 17:00:00)	-0.574502988
(07/22/08 18:00:00)	-0.574502988
(07/22/08 19:00:00)	-0.574502988
(07/22/08 20:00:00)	-0.574502988
(07/22/08 21:00:00)	-0.574502988
(07/22/08 22:00:00)	-0.574502988
(07/22/08 23:00:00)	-0.574502988
(07/23/08 00:00:00)	-0.574502988
(07/23/08 01:00:00)	-0.574502988
(07/23/08 02:00:00)	-0.581237503
(07/23/08 03:00:00)	-0.587133338
(07/23/08 04:00:00)	-0.587133338
(07/23/08 05:00:00)	-0.587133338
(07/23/08 06:00:00)	-0.587133338
(07/23/08 07:00:00)	-0.581237503
(07/23/08 08:00:00)	-0.581237503
(07/23/08 09:00:00)	-0.581237503
(07/23/08 10:00:00)	-0.581237503
(07/23/08 11:00:00)	-0.581237503
(07/23/08 12:00:00)	-0.587133338
(07/23/08 13:00:00)	-0.580309355
(07/23/08 14:00:00)	-0.573588901
(07/23/08 15:00:00)	-0.581237503
(07/23/08 16:00:00)	-0.588075812
(07/23/08 17:00:00)	-0.588075812
(07/23/08 18:00:00)	-0.588075812
(07/23/08 19:00:00)	-0.59406281
(07/23/08 20:00:00)	-0.59406281
(07/23/08 21:00:00)	-0.601846271
(07/23/08 22:00:00)	-0.601846271
(07/23/08 23:00:00)	-0.59406281
(07/24/08 00:00:00)	-0.601846271
(07/24/08 01:00:00)	-0.601846271
(07/24/08 02:00:00)	-0.601846271
(07/24/08 03:00:00)	-0.609004417
(07/24/08 04:00:00)	-0.609004417
(07/24/08 05:00:00)	-0.609004417
(07/24/08 06:00:00)	-0.609004417
(07/24/08 07:00:00)	-0.609004417
(07/24/08 08:00:00)	-0.609004417
(07/24/08 09:00:00)	-0.609004417
(07/24/08 10:00:00)	-0.609004417
(07/24/08 11:00:00)	-0.609004417
(07/24/08 12:00:00)	-0.602819797
(07/24/08 13:00:00)	-0.602819797
(07/24/08 14:00:00)	-0.616274421
(07/24/08 15:00:00)	-0.616274421
(07/24/08 16:00:00)	-0.616274421
(07/24/08 17:00:00)	-0.616274421
(07/24/08 18:00:00)	-0.616274421
(07/24/08 19:00:00)	-0.616274421
(07/24/08 20:00:00)	-0.616274421
(07/24/08 21:00:00)	-0.616274421
(07/24/08 22:00:00)	-0.623658427
(07/24/08 23:00:00)	-0.623658427
(07/25/08 00:00:00)	-0.623658427
(07/25/08 01:00:00)	-0.623658427
(07/25/08 02:00:00)	-0.623658427
(07/25/08 03:00:00)	-0.623658427
(07/25/08 04:00:00)	-0.623658427
(07/25/08 05:00:00)	-0.623658427
(07/25/08 06:00:00)	-0.631954371
