"series"	"ts"	"value"
"1"	"LOT_N13Ad_S1"	"2008-01-01 00:00:00"	415
"2"	"LOT_N13Ad_S1"	"2008-01-01 01:00:00"	422
"3"	"LOT_N13Ad_S1"	"2008-01-01 02:00:00"	418
"4"	"LOT_N13Ad_S1"	"2008-01-01 03:00:00"	414
"5"	"LOT_N13Ad_S1"	"2008-01-01 04:00:00"	417
"6"	"LOT_N13Ad_S1"	"2008-01-01 05:00:00"	414
"7"	"LOT_N13Ad_S1"	"2008-01-01 06:00:00"	411
"8"	"LOT_N13Ad_S1"	"2008-01-01 07:00:00"	414
"9"	"LOT_N13Ad_S1"	"2008-01-01 08:00:00"	412
"10"	"LOT_N13Ad_S1"	"2008-01-01 09:00:00"	408
"11"	"LOT_N13Ad_S1"	"2008-01-01 10:00:00"	407
"12"	"LOT_N13Ad_S1"	"2008-01-01 11:00:00"	405
"13"	"LOT_N13Ad_S1"	"2008-01-01 12:00:00"	402
"14"	"LOT_N13Ad_S1"	"2008-01-01 13:00:00"	400
"15"	"LOT_N13Ad_S1"	"2008-01-01 14:00:00"	398
"16"	"LOT_N13Ad_S1"	"2008-01-01 15:00:00"	396
"17"	"LOT_N13Ad_S1"	"2008-01-01 16:00:00"	395
"18"	"LOT_N13Ad_S1"	"2008-01-01 17:00:00"	396
"19"	"LOT_N13Ad_S1"	"2008-01-01 18:00:00"	398
"20"	"LOT_N13Ad_S1"	"2008-01-01 19:00:00"	398
"21"	"LOT_N13Ad_S1"	"2008-01-01 20:00:00"	398
"22"	"LOT_N13Ad_S1"	"2008-01-01 21:00:00"	400
"23"	"LOT_N13Ad_S1"	"2008-01-01 22:00:00"	399
"24"	"LOT_N13Ad_S1"	"2008-01-01 23:00:00"	395
"25"	"LOT_N13Ad_S1"	"2008-01-02 00:00:00"	395
"26"	"LOT_N13Ad_S1"	"2008-01-02 01:00:00"	395
"27"	"LOT_N13Ad_S1"	"2008-01-02 02:00:00"	393
"28"	"LOT_N13Ad_S1"	"2008-01-02 03:00:00"	390
"29"	"LOT_N13Ad_S1"	"2008-01-02 04:00:00"	390
"30"	"LOT_N13Ad_S1"	"2008-01-02 05:00:00"	388
"31"	"LOT_N13Ad_S1"	"2008-01-02 06:00:00"	388
"32"	"LOT_N13Ad_S1"	"2008-01-02 07:00:00"	385
"33"	"LOT_N13Ad_S1"	"2008-01-02 08:00:00"	382
"34"	"LOT_N13Ad_S1"	"2008-01-02 09:00:00"	386
"35"	"LOT_N13Ad_S1"	"2008-01-02 10:00:00"	386
"36"	"LOT_N13Ad_S1"	"2008-01-02 11:00:00"	386
"37"	"LOT_N13Ad_S1"	"2008-01-02 12:00:00"	386
"38"	"LOT_N13Ad_S1"	"2008-01-02 13:00:00"	384
"39"	"LOT_N13Ad_S1"	"2008-01-02 14:00:00"	383
"40"	"LOT_N13Ad_S1"	"2008-01-02 15:00:00"	383
"41"	"LOT_N13Ad_S1"	"2008-01-02 16:00:00"	381
"42"	"LOT_N13Ad_S1"	"2008-01-02 17:00:00"	380
"43"	"LOT_N13Ad_S1"	"2008-01-02 18:00:00"	381
"44"	"LOT_N13Ad_S1"	"2008-01-02 19:00:00"	380
"45"	"LOT_N13Ad_S1"	"2008-01-02 20:00:00"	383
"46"	"LOT_N13Ad_S1"	"2008-01-02 21:00:00"	387
"47"	"LOT_N13Ad_S1"	"2008-01-02 22:00:00"	388
"48"	"LOT_N13Ad_S1"	"2008-01-02 23:00:00"	386
"49"	"LOT_N13Ad_S1"	"2008-01-03 00:00:00"	386
"50"	"LOT_N13Ad_S1"	"2008-01-03 01:00:00"	386
"51"	"LOT_N13Ad_S1"	"2008-01-03 02:00:00"	386
"52"	"LOT_N13Ad_S1"	"2008-01-03 03:00:00"	386
"53"	"LOT_N13Ad_S1"	"2008-01-03 04:00:00"	384
"54"	"LOT_N13Ad_S1"	"2008-01-03 05:00:00"	384
"55"	"LOT_N13Ad_S1"	"2008-01-03 06:00:00"	384
"56"	"LOT_N13Ad_S1"	"2008-01-03 07:00:00"	387
"57"	"LOT_N13Ad_S1"	"2008-01-03 08:00:00"	387
"58"	"LOT_N13Ad_S1"	"2008-01-03 09:00:00"	383
"59"	"LOT_N13Ad_S1"	"2008-01-03 10:00:00"	383
"60"	"LOT_N13Ad_S1"	"2008-01-03 11:00:00"	381
"61"	"LOT_N13Ad_S1"	"2008-01-03 12:00:00"	378
"62"	"LOT_N13Ad_S1"	"2008-01-03 13:00:00"	378
"63"	"LOT_N13Ad_S1"	"2008-01-03 14:00:00"	377
"64"	"LOT_N13Ad_S1"	"2008-01-03 15:00:00"	376
"65"	"LOT_N13Ad_S1"	"2008-01-03 16:00:00"	376
"66"	"LOT_N13Ad_S1"	"2008-01-03 17:00:00"	376
"67"	"LOT_N13Ad_S1"	"2008-01-03 18:00:00"	376
"68"	"LOT_N13Ad_S1"	"2008-01-03 19:00:00"	377
"69"	"LOT_N13Ad_S1"	"2008-01-03 20:00:00"	378
"70"	"LOT_N13Ad_S1"	"2008-01-03 21:00:00"	377
"71"	"LOT_N13Ad_S1"	"2008-01-03 22:00:00"	376
"72"	"LOT_N13Ad_S1"	"2008-01-03 23:00:00"	376
"73"	"LOT_N13Ad_S1"	"2008-01-04 00:00:00"	376
"74"	"LOT_N13Ad_S1"	"2008-01-04 01:00:00"	376
"75"	"LOT_N13Ad_S1"	"2008-01-04 02:00:00"	376
"76"	"LOT_N13Ad_S1"	"2008-01-04 03:00:00"	377
"77"	"LOT_N13Ad_S1"	"2008-01-04 04:00:00"	377
"78"	"LOT_N13Ad_S1"	"2008-01-04 05:00:00"	376
"79"	"LOT_N13Ad_S1"	"2008-01-04 06:00:00"	376
"80"	"LOT_N13Ad_S1"	"2008-01-04 07:00:00"	379
"81"	"LOT_N13Ad_S1"	"2008-01-04 08:00:00"	381
"82"	"LOT_N13Ad_S1"	"2008-01-04 09:00:00"	378
"83"	"LOT_N13Ad_S1"	"2008-01-04 10:00:00"	378
"84"	"LOT_N13Ad_S1"	"2008-01-04 11:00:00"	377
"85"	"LOT_N13Ad_S1"	"2008-01-04 12:00:00"	376
"86"	"LOT_N13Ad_S1"	"2008-01-04 13:00:00"	376
"87"	"LOT_N13Ad_S1"	"2008-01-04 14:00:00"	379
"88"	"LOT_N13Ad_S1"	"2008-01-04 15:00:00"	426
"89"	"LOT_N13Ad_S1"	"2008-01-04 16:00:00"	525
"90"	"LOT_N13Ad_S1"	"2008-01-04 17:00:00"	588
"91"	"LOT_N13Ad_S1"	"2008-01-04 18:00:00"	598
"92"	"LOT_N13Ad_S1"	"2008-01-04 19:00:00"	610
"93"	"LOT_N13Ad_S1"	"2008-01-04 20:00:00"	615
"94"	"LOT_N13Ad_S1"	"2008-01-04 21:00:00"	603
"95"	"LOT_N13Ad_S1"	"2008-01-04 22:00:00"	591
"96"	"LOT_N13Ad_S1"	"2008-01-04 23:00:00"	582
"97"	"LOT_N13Ad_S1"	"2008-01-05 00:00:00"	565
"98"	"LOT_N13Ad_S1"	"2008-01-05 01:00:00"	544
"99"	"LOT_N13Ad_S1"	"2008-01-05 02:00:00"	529
"100"	"LOT_N13Ad_S1"	"2008-01-05 03:00:00"	521
"101"	"LOT_N13Ad_S1"	"2008-01-05 04:00:00"	518
"102"	"LOT_N13Ad_S1"	"2008-01-05 05:00:00"	518
"103"	"LOT_N13Ad_S1"	"2008-01-05 06:00:00"	524
"104"	"LOT_N13Ad_S1"	"2008-01-05 07:00:00"	529
"105"	"LOT_N13Ad_S1"	"2008-01-05 08:00:00"	523
"106"	"LOT_N13Ad_S1"	"2008-01-05 09:00:00"	518
"107"	"LOT_N13Ad_S1"	"2008-01-05 10:00:00"	520
"108"	"LOT_N13Ad_S1"	"2008-01-05 11:00:00"	521
"109"	"LOT_N13Ad_S1"	"2008-01-05 12:00:00"	545
"110"	"LOT_N13Ad_S1"	"2008-01-05 13:00:00"	639
"111"	"LOT_N13Ad_S1"	"2008-01-05 14:00:00"	794
"112"	"LOT_N13Ad_S1"	"2008-01-05 15:00:00"	915
"113"	"LOT_N13Ad_S1"	"2008-01-05 16:00:00"	957
"114"	"LOT_N13Ad_S1"	"2008-01-05 17:00:00"	979
"115"	"LOT_N13Ad_S1"	"2008-01-05 18:00:00"	997
"116"	"LOT_N13Ad_S1"	"2008-01-05 19:00:00"	1003
"117"	"LOT_N13Ad_S1"	"2008-01-05 20:00:00"	1002
"118"	"LOT_N13Ad_S1"	"2008-01-05 21:00:00"	1009
"119"	"LOT_N13Ad_S1"	"2008-01-05 22:00:00"	1014
"120"	"LOT_N13Ad_S1"	"2008-01-05 23:00:00"	1014
"121"	"LOT_N13Ad_S1"	"2008-01-06 00:00:00"	1005
"122"	"LOT_N13Ad_S1"	"2008-01-06 01:00:00"	1008
"123"	"LOT_N13Ad_S1"	"2008-01-06 02:00:00"	1012
"124"	"LOT_N13Ad_S1"	"2008-01-06 03:00:00"	1014
"125"	"LOT_N13Ad_S1"	"2008-01-06 04:00:00"	1019
"126"	"LOT_N13Ad_S1"	"2008-01-06 05:00:00"	1022
"127"	"LOT_N13Ad_S1"	"2008-01-06 06:00:00"	1024
"128"	"LOT_N13Ad_S1"	"2008-01-06 07:00:00"	1022
"129"	"LOT_N13Ad_S1"	"2008-01-06 08:00:00"	1017
"130"	"LOT_N13Ad_S1"	"2008-01-06 09:00:00"	1017
"131"	"LOT_N13Ad_S1"	"2008-01-06 10:00:00"	1017
"132"	"LOT_N13Ad_S1"	"2008-01-06 11:00:00"	1011
"133"	"LOT_N13Ad_S1"	"2008-01-06 12:00:00"	998
"134"	"LOT_N13Ad_S1"	"2008-01-06 13:00:00"	985
"135"	"LOT_N13Ad_S1"	"2008-01-06 14:00:00"	981
"136"	"LOT_N13Ad_S1"	"2008-01-06 15:00:00"	981
"137"	"LOT_N13Ad_S1"	"2008-01-06 16:00:00"	984
"138"	"LOT_N13Ad_S1"	"2008-01-06 17:00:00"	990
"139"	"LOT_N13Ad_S1"	"2008-01-06 18:00:00"	1000
